identifier,transaction_count,avg_price_eth,max_price_eth,min_price_eth,total_volume_eth,unique_buyers,unique_sellers,collection
9926,17,0.9256588235294118,1.66,0.73,15.7362,1,1,Doodles
9997,3,29.896666666666665,50.0,3.69,89.69,1,1,Doodles
9923,9,2.714433333333333,4.9999,0.99,24.4299,1,1,Doodles
9991,16,5.63524375,24.99,0.369,90.1639,1,1,Doodles
9958,1,1.35,1.35,1.35,1.35,1,1,Doodles
9998,4,5.353025,13.7,1.9321,21.4121,1,1,Doodles
9928,1,0.9399,0.9399,0.9399,0.9399,1,1,Doodles
9935,5,3.4248000000000003,6.9,0.754,17.124000000000002,1,1,Doodles
9981,5,3.834000000000001,12.89,0.85,19.17,1,1,Doodles
9984,7,1.8622142857142856,5.0,0.7386,13.0355,1,1,Doodles
9933,1,1.2,1.2,1.2,1.2,1,1,Doodles
9942,4,1.58499975,1.839999,1.3,6.339999,1,1,Doodles
9985,2,1.65,1.9,1.4,3.3,1,1,Doodles
9952,4,6.5525,12.5,3.27,26.21,1,1,Doodles
9946,3,2.9166666666666665,3.95,1.5,8.75,1,1,Doodles
9927,5,3.16,8.4,1.49,15.8,1,1,Doodles
9948,8,3.62554075,6.89,1.34,29.004326,1,1,Doodles
9934,4,5.693499999999999,16.9,1.19,22.774,1,1,Doodles
9966,2,1.125,1.13,1.12,2.25,1,1,Doodles
9925,5,2.52358,4.5,1.2389,12.6179,1,1,Doodles
9970,2,2.51,2.8,2.22,5.02,1,1,Doodles
9965,2,6.6115,12.1,1.123,13.223,1,1,Doodles
9929,3,4.837,11.95,1.25,14.511,1,1,Doodles
9951,5,6.986879999999999,15.4444,1.5,34.9344,1,1,Doodles
9989,1,3.88,3.88,3.88,3.88,1,1,Doodles
9931,6,8.455,14.49,1.1,50.73,1,1,Doodles
9967,2,1.17,1.29,1.05,2.34,1,1,Doodles
9947,4,6.916875,11.6,1.4675,27.6675,1,1,Doodles
9936,35,5.0284,6.22,1.09,175.994,1,1,Doodles
9960,3,4.68,11.99,0.75,14.04,1,1,Doodles
9922,45,3.5255884,15.39,0.798,158.651478,1,1,Doodles
9959,2,5.525,10.0,1.05,11.05,1,1,Doodles
9949,14,3.6012142857142857,15.5,0.95,50.417,1,1,Doodles
9955,23,2.47844347826087,19.69,0.431,57.0042,1,1,Doodles
9968,2,7.12,13.0,1.24,14.24,1,1,Doodles
9988,4,6.266749999999999,16.49,1.377,25.067,1,1,Doodles
9937,17,2.489987647058823,7.5,0.46,42.32979,1,1,Doodles
9972,1,1.24,1.24,1.24,1.24,1,1,Doodles
9992,1,5.0,5.0,5.0,5.0,1,1,Doodles
9986,3,3.8425666666666665,7.0,2.2277,11.5277,1,1,Doodles
9930,30,2.161164,13.0,0.982,64.83492,1,1,Doodles
9983,3,2.13,3.94,1.19,6.39,1,1,Doodles
9945,14,2.6470714285714285,6.23,1.2,37.059,1,1,Doodles
9990,33,2.6343238787878787,4.48,0.996,86.932688,1,1,Doodles
9961,7,3.612414285714286,14.75,0.8369,25.2869,1,1,Doodles
9939,4,2.1725,3.15,1.09,8.69,1,1,Doodles
9940,7,2.719642857142857,7.7,1.2245,19.0375,1,1,Doodles
9956,2,1.3925,1.49,1.295,2.785,1,1,Doodles
9978,1,1.6,1.6,1.6,1.6,1,1,Doodles
9987,0,0.0,0.0,0.0,0.0,0,0,Doodles
9982,3,2.6266666666666665,4.68,1.33,7.88,1,1,Doodles
9953,2,2.6,3.75,1.45,5.2,1,1,Doodles
9941,6,2.063199833333333,6.4,1.0469,12.379199,1,1,Doodles
9994,25,4.277044,5.79,1.67,106.9261,1,1,Doodles
9921,8,1.0664735,1.49,0.955,8.531788,1,1,Doodles
9963,20,3.6093495,6.7,1.15,72.18699000000001,1,1,Doodles
9977,2,9.35,15.25,3.45,18.7,1,1,Doodles
9957,4,3.4825,8.0,1.1,13.93,1,1,Doodles
9993,24,4.3187875,6.59,2.22,103.6509,1,1,Doodles
9975,21,3.453985714285714,25.0,0.9288,72.5337,1,1,Doodles
9932,1,1.2,1.2,1.2,1.2,1,1,Doodles
9995,2,1.399,1.949,0.849,2.798,1,1,Doodles
9938,7,3.846871428571429,16.69,1.149,26.928100000000004,1,1,Doodles
9954,52,2.8411442115384613,11.3,0.42991,147.739499,1,1,Doodles
9996,10,3.1169,14.1,0.889,31.169,1,1,Doodles
9964,21,3.068106,11.9,0.461,64.430226,1,1,Doodles
9962,2,7.995,15.0,0.99,15.99,1,1,Doodles
9999,2,1.834,2.689,0.979,3.668,1,1,Doodles
9944,19,2.876601,5.39,0.971,54.655419,1,1,Doodles
9924,2,2.4195,3.94,0.899,4.839,1,1,Doodles
9980,12,2.8797908333333333,7.9,0.77,34.55749,1,1,Doodles
9920,3,10.163333333333334,23.5,1.49,30.49,1,1,Doodles
9979,0,0.0,0.0,0.0,0.0,0,0,Doodles
9943,4,4.181725,6.4269,2.3,16.7269,1,1,Doodles
9976,10,2.2862940000000003,8.0,0.557,22.86294,1,1,Doodles
9973,2,7.75,12.0,3.5,15.5,1,1,Doodles
9974,1,3.3,3.3,3.3,3.3,1,1,Doodles
9971,6,3.2300000000000004,9.99,1.05,19.380000000000003,1,1,Doodles
9969,0,0.0,0.0,0.0,0.0,0,0,Doodles
9950,10,1.4448782999999998,2.545,0.9,14.448783,1,1,Doodles
9919,5,7.636,14.0,1.09,38.18,1,1,Doodles
